"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"1","AALI","Astra Agro Lestari Tbk.","--S-11AE106000D232------------","6575","0","26 Apr 2024","0","6575","6375","6475","-100","1016800","6576927500","820","526","6475","2900","6450","300","1924688333","1924688333","390711732","18200","7600","0","0","0"
"2","ABBA","Mahaka Media Tbk.","--U-4100000000E614-E---------X","29","0","26 Apr 2024","0","30","29","29","0","3291800","95566700","42","64.1","30","456600","29","3347800","3935892857","3935892857","1342139464","0","0","0","0","0"
"3","ABDA","Asuransi Bina Dana Arta Tbk.","--U-4105000000G412-----------X","5000","0","26 Apr 2024","0","0","0","5000","0","0","0","0","1141.5","5000","71400","0","0","620806680","620806680","31474899","0","0","0","0","0"
"4","ABMM","ABM Investama Tbk.","--S-1805000000A121------------","3850","0","26 Apr 2024","0","3920","3780","3780","-70","2990500","11403882000","1764","100.8","3790","26700","3780","3100","2753165000","2753165000","568803889","1794600","392900","0","0","0"
"5","ACES","Ace Hardware Indonesia Tbk.","--SO1SK5MD0000E743------------","975","975","26 Apr 2024","970","975","890","910","-65","87109400","79392801500","6747","1109.8","915","450400","910","3030600","17150000000","17150000000","6832560000","53020600","16073500","18719","16941265","2"
"6","ACRO","Samcro Hyosung Adilestari Tbk.","--U-2130000000E413------------","82","0","26 Apr 2024","0","84","79","80","-2","3226300","263801200","437","74.1","80","483400","79","479600","3469138591","731863096","746211711","42500","364400","0","0","0"
"7","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------","123","0","26 Apr 2024","0","123","121","123","0","463300","56399900","110","9.1","123","1880600","121","990800","12675160000","12675160000","1560312196","0","0","0","0","0"
"8","ADCP","Adhi Commuter Properti Tbk.","--U-1135000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","140300","7015000","38","38.5","50","23100300","0","0","22222222200","22222222200","2222222220","0","0","0","0","0"
"9","ADES","Akasha Wira International Tbk.","--U-4135000000D212-----------X","9125","0","26 Apr 2024","0","9125","9100","9100","-25","3700","33675000","18","472.7","9100","4600","9050","400","589896800","589896800","48961434","0","0","0","0","0"
"10","ADHI","Adhi Karya (Persero) Tbk.","--S-180M700000J211------------","260","0","26 Apr 2024","0","266","254","254","-6","11955200","3086880200","1279","218.6","256","400","254","185800","8407608979","8407608979","2998994123","1974700","833200","8000","2064000","1"
